node,degree,pagerank
C632336343,1.6862837678324508e-05,1.196537868233915e-05
C834976624,1.6862837678324508e-05,2.1645950282384256e-05
C1264712553,1.6862837678324508e-05,1.196537868233915e-05
M215391829,1.6862837678324508e-05,2.1645950282384256e-05
C1746846248,1.6862837678324508e-05,1.196537868233915e-05
C1607284477,1.6862837678324508e-05,2.1645950282384256e-05
C333676753,1.6862837678324508e-05,1.196537868233915e-05
C1564353608,1.6862837678324508e-05,2.1645950282384256e-05
C813403091,1.6862837678324508e-05,1.196537868233915e-05
C1091768874,1.6862837678324508e-05,2.1645950282384256e-05
C2002954533,1.6862837678324508e-05,1.196537868233915e-05
M290849763,1.6862837678324508e-05,2.1645950282384256e-05
C813757373,1.6862837678324508e-05,1.196537868233915e-05
C823291717,1.6862837678324508e-05,2.1645950282384256e-05
C1850864812,1.6862837678324508e-05,1.196537868233915e-05
C618657299,1.6862837678324508e-05,2.1645950282384256e-05
C886849972,1.6862837678324508e-05,1.196537868233915e-05
M623175144,1.6862837678324508e-05,2.1645950282384256e-05
C390714641,1.6862837678324508e-05,1.196537868233915e-05
C366360355,1.6862837678324508e-05,2.1645950282384256e-05
C1514989792,1.6862837678324508e-05,1.196537868233915e-05
C409578677,1.6862837678324508e-05,2.1645950282384256e-05
C94444270,1.6862837678324508e-05,1.196537868233915e-05
C379896225,1.6862837678324508e-05,2.1645950282384256e-05
C513018655,1.6862837678324508e-05,1.196537868233915e-05
C1302281681,1.6862837678324508e-05,2.1645950282384256e-05
C122114408,1.6862837678324508e-05,1.196537868233915e-05
C705120650,1.6862837678324508e-05,2.1645950282384256e-05
C1810046508,1.6862837678324508e-05,1.196537868233915e-05
M487081598,1.6862837678324508e-05,2.1645950282384256e-05
C1365498607,1.6862837678324508e-05,1.196537868233915e-05
M969218364,1.6862837678324508e-05,2.1645950282384256e-05
C12524561,1.6862837678324508e-05,1.196537868233915e-05
C579157353,1.6862837678324508e-05,2.1645950282384256e-05
C1564771551,1.6862837678324508e-05,1.196537868233915e-05
C718731643,3.3725675356649016e-05,3.132652188242936e-05
C1346570604,1.6862837678324508e-05,1.196537868233915e-05
C1178934515,1.6862837678324508e-05,2.1645950282384256e-05
C807101143,1.6862837678324508e-05,1.196537868233915e-05
C1531623971,1.6862837678324508e-05,2.1645950282384256e-05
C346953986,1.6862837678324508e-05,1.196537868233915e-05
C526046232,1.6862837678324508e-05,2.1645950282384256e-05
C25552315,1.6862837678324508e-05,1.196537868233915e-05
C75671301,1.6862837678324508e-05,2.1645950282384256e-05
C200195468,1.6862837678324508e-05,1.196537868233915e-05
C786997986,3.3725675356649016e-05,3.132652188242936e-05
C1576094043,1.6862837678324508e-05,1.196537868233915e-05
C1308477441,1.6862837678324508e-05,2.1645950282384256e-05
C1512675672,1.6862837678324508e-05,1.196537868233915e-05
M1330826048,1.6862837678324508e-05,2.1645950282384256e-05
C1286124147,1.6862837678324508e-05,1.196537868233915e-05
C1885613878,1.6862837678324508e-05,2.1645950282384256e-05
C1953063740,1.6862837678324508e-05,1.196537868233915e-05
C212080696,1.6862837678324508e-05,2.1645950282384256e-05
C470767940,1.6862837678324508e-05,1.196537868233915e-05
C598132143,1.6862837678324508e-05,2.1645950282384256e-05
C709178804,1.6862837678324508e-05,1.196537868233915e-05
C1163988187,3.3725675356649016e-05,3.132652188242936e-05
C920671013,1.6862837678324508e-05,1.196537868233915e-05
C1418884586,1.6862837678324508e-05,2.1645950282384256e-05
C633099116,1.6862837678324508e-05,1.196537868233915e-05
M2117267163,1.6862837678324508e-05,2.1645950282384256e-05
C220437223,1.6862837678324508e-05,1.196537868233915e-05
M1751641542,1.6862837678324508e-05,2.1645950282384256e-05
C1717919401,1.6862837678324508e-05,1.196537868233915e-05
C645140627,1.6862837678324508e-05,2.1645950282384256e-05
C1353964860,1.6862837678324508e-05,1.196537868233915e-05
M1059671726,1.6862837678324508e-05,2.1645950282384256e-05
C1894828300,1.6862837678324508e-05,1.196537868233915e-05
C1975390043,1.6862837678324508e-05,2.1645950282384256e-05
C544409289,1.6862837678324508e-05,1.196537868233915e-05
C956338890,1.6862837678324508e-05,2.1645950282384256e-05
C88319926,1.6862837678324508e-05,1.196537868233915e-05
C1971781194,1.6862837678324508e-05,2.1645950282384256e-05
C893917810,1.6862837678324508e-05,1.196537868233915e-05
C1327824794,1.6862837678324508e-05,2.1645950282384256e-05
C1405934398,1.6862837678324508e-05,1.196537868233915e-05
M839389189,1.6862837678324508e-05,2.1645950282384256e-05
C800760258,1.6862837678324508e-05,1.196537868233915e-05
C358043414,1.6862837678324508e-05,2.1645950282384256e-05
C484951468,1.6862837678324508e-05,1.196537868233915e-05
M1504624467,1.6862837678324508e-05,2.1645950282384256e-05
C982073663,1.6862837678324508e-05,1.196537868233915e-05
C1216254870,1.6862837678324508e-05,2.1645950282384256e-05
C1647129298,1.6862837678324508e-05,1.196537868233915e-05
C1714837024,1.6862837678324508e-05,2.1645950282384256e-05
C2086229320,1.6862837678324508e-05,1.196537868233915e-05
C1654662784,1.6862837678324508e-05,2.1645950282384256e-05
C315487150,1.6862837678324508e-05,1.196537868233915e-05
M1717055694,1.6862837678324508e-05,2.1645950282384256e-05
